name,genre,year_of_release,publisher,sales,critic_score,user_score,critic_user_diff,developer,rating,platform,year_choices,stat_diff
Wii Sports,Sports,2006,Nintendo,82.53,76,80,-4,Nintendo,E,Wii,2006,No
Mario Kart Wii,Racing,2008,Nintendo,35.52,82,83,-1,Nintendo,E,Wii,2008,No
Wii Sports Resort,Sports,2009,Nintendo,32.77,80,80,0,Nintendo,E,Wii,2009,No
New Super Mario Bros.,Platform,2006,Nintendo,29.8,89,85,4,Nintendo,E,DS,2006,No
Wii Play,Misc,2006,Nintendo,28.92,58,66,-8,Nintendo,E,Wii,2006,No
New Super Mario Bros. Wii,Platform,2009,Nintendo,28.32,87,84,3,Nintendo,E,Wii,2009,No
Mario Kart DS,Racing,2005,Nintendo,23.21,91,86,5,Nintendo,E,DS,2005,No
Wii Fit,Sports,2007,Nintendo,22.7,80,77,3,Nintendo,E,Wii,2007,No
Wii Fit Plus,Sports,2009,Nintendo,21.79,80,74,6,Nintendo,E,Wii,2009,No
Brain Age: Train Your Brain in Minutes a Day,Misc,2005,Nintendo,20.15,77,79,-2,Nintendo,E,DS,2005,No
Brain Age 2: More Training in Minutes a Day,Puzzle,2005,Nintendo,15.29,77,71,6,Nintendo,E,DS,2005,No
Animal Crossing: Wild World,Simulation,2005,Nintendo,12.13,86,87,-1,Nintendo,E,DS,2005,No
Super Mario Galaxy,Platform,2007,Nintendo,11.35,97,89,8,Nintendo,E,Wii,2007,No
Super Mario 3D Land,Platform,2011,Nintendo,10.81,90,84,6,Nintendo,E,3DS,2011,No
Just Dance 3,Misc,2011,Ubisoft,10.12,74,78,-4,Ubisoft,E10+,Wii,2011,No
New Super Mario Bros. 2,Platform,2012,Nintendo,9.9,78,72,6,Nintendo,E,3DS,2012,No
Just Dance 2,Misc,2010,Ubisoft,9.44,74,73,1,Ubisoft,E10+,Wii,2010,No
Animal Crossing: New Leaf,Simulation,2012,Nintendo,9.16,88,87,1,Nintendo,E,3DS,2012,No
FIFA 16,Sports,2015,Electronic Arts,8.57,82,43,39,EA,E,PS4,2015,Yes
FIFA Soccer 13,Action,2012,Electronic Arts,8.16,88,66,22,EA,E,PS3,2012,No
FIFA 17,Sports,2016,Electronic Arts,7.59,85,50,35,EA,E,PS4,2016,Yes
Super Mario Galaxy 2,Platform,2010,Nintendo,7.51,97,91,6,EA,E,Wii,2010,No
Battlefield 3,Shooter,2011,Electronic Arts,7.32,84,74,10,EA,M,X360,2011,No
Need for Speed Underground,Racing,2003,Electronic Arts,7.2,85,86,-1,EA,E,PS2,2003,No
Just Dance,Misc,2009,Ubisoft,7.2,49,80,-31,Ubisoft,E10+,Wii,2009,Yes
Battlefield 3,Shooter,2011,Electronic Arts,7.17,85,75,10,EA,M,PS3,2011,No
Tekken 3,Fighting,1998,Sony Computer Entertainment,7.16,96,91,5,Namco,T,PS,Before 2000,No
The Legend of Zelda: Twilight Princess,Action,2006,Nintendo,7.15,95,90,5,Nintendo,T,Wii,2006,No
Mario Kart 8,Racing,2014,Nintendo,7.09,88,91,-3,Nintendo,E,WiiU,2014,No
Need for Speed Underground 2,Racing,2004,Electronic Arts,6.9,82,86,-4,EA,E,PS2,2004,No
Medal of Honor: Frontline,Shooter,2002,Electronic Arts,6.83,88,85,3,EA,T,PS2,2002,No
Just Dance 4,Misc,2012,Ubisoft,6.76,74,73,1,Ubisoft,E10+,Wii,2012,No
Big Brain Academy,Misc,2005,Nintendo,6.62,74,74,0,Nintendo,E,DS,2005,No
FIFA 14,Sports,2013,Electronic Arts,6.47,86,43,43,EA,E,PS3,2013,Yes
Assassin's Creed III,Action,2012,Ubisoft,6.45,85,69,16,Ubisoft,M,PS3,2012,No
Super Mario Sunshine,Platform,2002,Nintendo,6.31,92,86,6,Nintendo,E,GC,2002,No
FIFA 15,Sports,2014,Electronic Arts,6.08,82,57,25,EA,E,PS4,2014,No
Resident Evil 2,Action,1998,Other,5.82,89,92,-3,Capcom,M,PS,Before 2000,No
Tekken 2,Fighting,1996,Sony Computer Entertainment,5.74,89,89,0,Namco,T,PS,Before 2000,No
LEGO Star Wars: The Complete Saga,Action,2007,Other,5.64,80,89,-9,Traveller's Tales,E10+,Wii,2007,No
Assassin's Creed II,Action,2009,Ubisoft,5.55,91,86,5,Ubisoft,M,PS3,2009,No
Assassin's Creed,Adventure,2007,Ubisoft,5.54,81,77,4,Ubisoft,M,X360,2007,No
Super Mario Advance,Platform,2001,Nintendo,5.49,84,78,6,Nintendo,E,GBA,2001,No
Monster Hunter Freedom Unite,Role-Playing,2008,Capcom,5.48,81,87,-6,Capcom,T,PSP,2008,No
Crash Bandicoot: The Wrath of Cortex,Platform,2001,Other,5.42,66,71,-5,Traveller's Tales,E,PS2,2001,No
Assassin's Creed III,Action,2012,Ubisoft,5.29,84,67,17,Ubisoft,M,X360,2012,No
Assassin's Creed II,Action,2009,Ubisoft,5.26,90,88,2,Ubisoft,M,X360,2009,No
New Super Mario Bros. U,Platform,2012,Nintendo,5.22,84,81,3,Nintendo,E,WiiU,2012,No
FIFA Soccer 13,Action,2012,Electronic Arts,5.16,90,61,29,EA,E,X360,2012,Yes
Medal of Honor: Rising Sun,Shooter,2003,Electronic Arts,5.13,68,76,-8,EA,T,PS2,2003,No
Resident Evil 5,Action,2009,Capcom,5.09,84,75,9,Capcom,M,PS3,2009,No
